OECID,FacilityName,OECID_Name,Date,Electricity Cost ($),Electricity Demand (KW),Electricity Usage (KWH),Gas (Therms),Gas Cost ($),Steam (mlbs),Steam Cost ($),Total Cost ($),Total Usage (mmBTUs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100581,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 12/1/22,122664.34,1507.36,1364800,,,3029,96919.2,219583.54,8041.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100582,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 11/1/22,167836.74,1739.2,1465600,,,2383,89095.72,256932.46,7664.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100584,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 10/1/22,158794.22,1740.64,866400,,,2117,51997.21,210791.43,5322.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100585,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 9/1/22,233781.35,1923.52,1147200,,,2109,36412.93,270194.28,6271.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100586,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 8/1/22,210549.9,2095.84,1079200,,,2116,34986.3,245536.2,6047.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100587,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 7/1/22,203792.83,2022.4,973600,,,1913,33620.21,237413.04,5460.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100589,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 6/1/22,181823.19,1756.96,999200,,,1771,34163.76,215986.95,5388.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100590,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 5/1/22,129380.35,1693.6,868800,,,2219,45876.07,175256.42,5444.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100591,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 4/1/22,161149.01,1710.4,933600,,,2089,76420.01,237569.02,5520.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100592,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 3/1/22,179832.96,1649.92,936000,,,2862,107050.36,286883.32,6391.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100593,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 2/1/22,130679.29,1763.2,970400,,,2762,109058.13,239737.42,6397.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100594,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 1/1/22,125769.39,1614.88,824800,,,3499,119727.51,245496.9,6724.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100595,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 12/1/21,126896.61,1507.36,988800,,,2963,97337.32,224233.93,6684.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100596,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 11/1/21,136816.21,1739.2,1446400,,,3035,105908.07,242724.28,8327.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
